"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-01",,"59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-02",,"71","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-03",,"73","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-04",,"74","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-05",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-06",,"56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-07",,"55","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-08",,"56","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-09",,"64","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-10",,"71","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-11",,"65","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-12",,"62","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-13",,"61","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-14",,"52","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-15",,"54","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-16",,"54","42"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-17",,"55","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-18",,"55","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-19",,"59","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-20",,"64","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-21",,"63","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-22",,"67","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-23",,"55","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-24",,"57","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-25",,"55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-26",,"57","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-27",,"56","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-28",,"57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-29",,"58","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-30",,"60","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-03-31",,"62","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-01",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-02",,"60","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-03",,"58","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-04",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-05",,"53","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-06",,"51","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-07",,"61","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-08",,"58","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-09",,"61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-10",,"61","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-11",,"56","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-12",,"62","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-13",,"63","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-14",,"76","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-15",,"69","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-16",,"57","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-17",,"59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-18",,"62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-19",,"62","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-20",,"59","52"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-21",,"63","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-22",,"68","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-23",,"69","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2020-04-24",,"74","54"
